N minibatch,shuffle1 Accuracy,shuffle1 Precision,shuffle1 Recall,shuffle1 F1,shuffle2 Accuracy,shuffle2 Precision,shuffle2 Recall,shuffle2 F1
2,0.8733,0.8725,0.8521,0.8521,0.8523,0.8698,0.8405,0.8363
3,0.9067,0.9097,0.8918,0.8882,0.8792,0.8866,0.8643,0.8624
4,0.9067,0.9004,0.8900,0.8865,0.9060,0.9004,0.8900,0.8865
5,0.7533,0.7998,0.7588,0.7357,0.7785,0.8337,0.7826,0.7537
6,0.8533,0.9067,0.8730,0.8490,0.9664,0.9641,0.9607,0.9609
7,0.9733,0.9744,0.9683,0.9686,0.9799,0.9789,0.9784,0.9778
8,0.8933,0.8873,0.8768,0.8734,0.8792,0.8749,0.8663,0.8607
9,0.7800,0.8569,0.8102,0.8910,0.7919,0.8677,0.8178,0.9019
10,0.8600,0.8805,0.8725,0.8615,0.8523,0.8815,0.8655,0.8495
11,0.6933,0.7874,0.7110,0.6462,0.7114,0.8015,0.7226,0.6600
12,0.7200,0.8071,0.7344,0.6759,0.7248,0.7820,0.7392,0.8059
13,0.7600,0.8512,0.7844,0.7235,0.5168,0.4943,0.5394,0.5248
14,0.8267,0.8924,0.8510,0.8172,0.7584,0.7941,0.7778,0.7382
15,0.7733,0.8542,0.7955,0.7459,0.7718,0.8282,0.7762,0.7476